series,step,epoch,loss
train,1,0.002962962962962963,0.14678895473480225
train,2,0.005925925925925926,0.19902300834655762
train,3,0.008888888888888889,0.21943727135658264
train,4,0.011851851851851851,0.4268064796924591
train,5,0.014814814814814815,0.4266875386238098
train,6,0.017777777777777778,0.38579291105270386
train,7,0.02074074074074074,0.39015671610832214
train,8,0.023703703703703703,0.4506619870662689
train,9,0.02666666666666667,0.4294668436050415
train,10,0.02962962962962963,0.6012358665466309
train,11,0.03259259259259259,0.5947076678276062
train,12,0.035555555555555556,0.7671203017234802
train,13,0.03851851851851852,0.15155446529388428
train,14,0.04148148148148148,0.08406272530555725
train,15,0.044444444444444446,0.10506841540336609
train,16,0.047407407407407405,0.15318220853805542
train,17,0.05037037037037037,0.21521307528018951
train,18,0.05333333333333334,0.21515008807182312
train,19,0.056296296296296296,0.3366082012653351
train,20,0.05925925925925926,0.43245822191238403
train,21,0.06222222222222222,0.29618632793426514
train,22,0.06518518518518518,0.43500950932502747
train,23,0.06814814814814815,0.4145900011062622
train,24,0.07111111111111111,0.5437974333763123
train,25,0.07407407407407407,0.6378505229949951
train,26,0.07703703703703704,0.03824092820286751
train,27,0.08,0.04866739362478256
train,28,0.08296296296296296,0.09925617277622223
train,29,0.08592592592592592,0.17036059498786926
train,30,0.08888888888888889,0.14209741353988647
train,31,0.09185185185185185,0.14556841552257538
train,32,0.09481481481481481,0.2758203446865082
train,33,0.09777777777777778,0.2796880900859833
train,34,0.10074074074074074,0.35802775621414185
train,35,0.1037037037037037,0.27590951323509216
train,36,0.10666666666666667,0.2893199920654297
train,37,0.10962962962962963,0.4024844765663147
train,38,0.11259259259259259,0.06901577860116959
train,39,0.11555555555555555,0.047196924686431885
train,40,0.11851851851851852,0.11840209364891052
train,41,0.12148148148148148,0.08170832693576813
train,42,0.12444444444444444,0.1459837257862091
train,43,0.1274074074074074,0.18816301226615906
train,44,0.13037037037037036,0.20991764962673187
train,45,0.13333333333333333,0.33192092180252075
train,46,0.1362962962962963,0.3438747823238373
train,47,0.13925925925925925,0.33241569995880127
train,48,0.14222222222222222,0.4496723711490631
train,49,0.1451851851851852,0.4084075689315796
train,50,0.14814814814814814,0.4866228997707367
train,51,0.1511111111111111,0.02618781104683876
train,52,0.15407407407407409,0.13373631238937378
train,53,0.15703703703703703,0.03240760415792465
train,54,0.16,0.08337238430976868
train,55,0.16296296296296298,0.11477030813694
train,56,0.16592592592592592,0.1538730412721634
train,57,0.1688888888888889,0.24016207456588745
train,58,0.17185185185185184,0.30694299936294556
train,59,0.1748148148148148,0.2799161672592163
train,60,0.17777777777777778,0.40274184942245483
train,61,0.18074074074074073,0.3160141706466675
train,62,0.1837037037037037,0.309930682182312
train,63,0.18666666666666668,0.10327649861574173
train,64,0.18962962962962962,0.06743387132883072
train,65,0.1925925925925926,0.06310980767011642
train,66,0.19555555555555557,0.17960825562477112
train,67,0.1985185185185185,0.22637957334518433
train,68,0.20148148148148148,0.16574525833129883
train,69,0.20444444444444446,0.19702787697315216
train,70,0.2074074074074074,0.17477984726428986
train,71,0.21037037037037037,0.3078051507472992
train,72,0.21333333333333335,0.31663763523101807
train,73,0.2162962962962963,0.4474441111087799
train,74,0.21925925925925926,0.332496702671051
train,75,0.2222222222222222,0.372312992811203
train,76,0.22518518518518518,0.03656769171357155
train,77,0.22814814814814816,0.12139707803726196
train,78,0.2311111111111111,0.0740395188331604
train,79,0.23407407407407407,0.11993938684463501
train,80,0.23703703703703705,0.11942673474550247
train,81,0.24,0.29039162397384644
train,82,0.24296296296296296,0.1847533881664276
train,83,0.24592592592592594,0.3434107303619385
train,84,0.24888888888888888,0.29691413044929504
train,85,0.2518518518518518,0.2710879445075989
train,86,0.2548148148148148,0.335129976272583
train,87,0.2577777777777778,0.3949679732322693
train,88,0.2607407407407407,0.07124479115009308
train,89,0.2637037037037037,0.03580264747142792
train,90,0.26666666666666666,0.09526190906763077
train,91,0.2696296296296296,0.0987175703048706
train,92,0.2725925925925926,0.13591721653938293
train,93,0.27555555555555555,0.15733134746551514
train,94,0.2785185185185185,0.18893569707870483
train,95,0.2814814814814815,0.3049996793270111
train,96,0.28444444444444444,0.3254278898239136
train,97,0.2874074074074074,0.25105541944503784
train,98,0.2903703703703704,0.34726202487945557
train,99,0.29333333333333333,0.45868414640426636
train,100,0.2962962962962963,0.46497222781181335
train,101,0.2992592592592593,0.04203531891107559
train,102,0.3022222222222222,0.04569457098841667
train,103,0.30518518518518517,0.08951778709888458
train,104,0.30814814814814817,0.10312426090240479
train,105,0.3111111111111111,0.09248682856559753
train,106,0.31407407407407406,0.23347392678260803
train,107,0.31703703703703706,0.20785129070281982
train,108,0.32,0.27328187227249146
train,109,0.32296296296296295,0.2533995807170868
train,110,0.32592592592592595,0.2754802405834198
train,111,0.3288888888888889,0.43311458826065063
train,112,0.33185185185185184,0.4397268295288086
train,113,0.3348148148148148,0.11791153997182846
train,114,0.3377777777777778,0.09448086470365524
train,115,0.34074074074074073,0.045919787138700485
train,116,0.3437037037037037,0.09509912133216858
train,117,0.3466666666666667,0.07883621752262115
train,118,0.3496296296296296,0.09196694940328598
train,119,0.35259259259259257,0.24361717700958252
train,120,0.35555555555555557,0.15616455674171448
train,121,0.3585185185185185,0.16341465711593628
train,122,0.36148148148148146,0.20949311554431915
train,123,0.36444444444444446,0.21555335819721222
train,124,0.3674074074074074,0.4176486134529114
train,125,0.37037037037037035,0.41600266098976135
train,126,0.37333333333333335,0.03805496543645859
train,127,0.3762962962962963,0.06882673501968384
train,128,0.37925925925925924,0.1286609172821045
train,129,0.38222222222222224,0.08241770416498184
train,130,0.3851851851851852,0.1747661530971527
train,131,0.38814814814814813,0.21042096614837646
train,132,0.39111111111111113,0.2939663529396057
train,133,0.3940740740740741,0.3012668192386627
train,134,0.397037037037037,0.2797738313674927
train,135,0.4,0.35866421461105347
train,136,0.40296296296296297,0.40886199474334717
train,137,0.4059259259259259,0.40151849389076233
train,138,0.4088888888888889,0.09074900299310684
train,139,0.41185185185185186,0.04262528568506241
