teacher,series,epoch,loss
july,train,0.01875293014533521,1.747891616821289
july,train,0.03750586029067042,1.6282136917114258
july,train,0.05625879043600562,1.5596397399902344
july,train,0.07501172058134084,1.572056484222412
july,train,0.09376465072667604,1.4918178558349608
july,train,0.11251758087201125,1.5854747772216797
july,train,0.13127051101734646,1.4841876029968262
july,train,0.15002344116268168,1.5206645011901856
july,train,0.16877637130801687,1.516355037689209
july,train,0.1875293014533521,1.5265661239624024
july,train,0.2062822315986873,1.6553041458129882
july,train,0.2250351617440225,1.5442543983459474
july,train,0.2437880918893577,1.5181161880493164
july,train,0.26254102203469293,1.5463140487670899
july,train,0.2812939521800281,1.5963775634765625
july,train,0.30004688232536336,1.637820053100586
july,train,0.31879981247069855,1.5516604423522948
july,train,0.33755274261603374,1.491970157623291
july,train,0.356305672761369,1.5490232467651368
july,train,0.3750586029067042,1.5668458938598633
july,train,0.39381153305203936,1.6037261962890625
july,train,0.4125644631973746,1.5371833801269532
july,train,0.4313173933427098,1.556788444519043
july,train,0.450070323488045,1.5387635231018066
july,train,0.46882325363338023,1.5261165618896484
july,train,0.4875761837787154,1.6549850463867188
july,train,0.5063291139240507,1.497357177734375
july,train,0.5250820440693859,1.5106555938720703
july,train,0.543834974214721,1.5701991081237794
july,train,0.5625879043600562,1.5343735694885254
july,train,0.5813408345053914,1.5859375953674317
july,train,0.6000937646507267,1.5025080680847167
july,train,0.6188466947960619,1.4985670089721679
july,train,0.6375996249413971,1.6128856658935546
july,train,0.6563525550867323,1.5260723114013672
july,train,0.6751054852320675,1.6257314682006836
july,train,0.6938584153774027,1.5263517379760743
july,train,0.712611345522738,1.5017072677612304
july,train,0.7313642756680732,1.5324499130249023
july,train,0.7501172058134083,1.5346752166748048
july,train,0.7688701359587435,1.5978017807006837
july,train,0.7876230661040787,1.496491050720215
july,train,0.8063759962494139,1.45523681640625
july,train,0.8251289263947492,1.5432626724243164
july,train,0.8438818565400844,1.508217716217041
july,train,0.8626347866854196,1.5925629615783692
july,train,0.8813877168307548,1.5051060676574708
july,train,0.90014064697609,1.4708086967468261
july,train,0.9188935771214253,1.552811050415039
july,train,0.9376465072667605,1.5423261642456054
july,train,0.9563994374120957,1.535971736907959
july,train,0.9751523675574308,1.5418618202209473
july,train,0.993905297702766,1.4856300354003906
july,train,1.0112517580872011,1.4717926025390624
july,train,1.0300046882325364,1.3464086532592774
july,train,1.0487576183778715,1.2329211235046387
july,train,1.0675105485232068,1.3861038208007812
july,train,1.086263478668542,1.3956436157226562
july,train,1.1050164088138772,1.3299480438232423
july,train,1.1237693389592125,1.2773967742919923
july,train,1.1425222691045476,1.2972572326660157
july,train,1.1612751992498829,1.414657974243164
july,train,1.180028129395218,1.387492847442627
july,train,1.1987810595405533,1.3046640396118163
july,train,1.2175339896858883,1.2594058990478516
july,train,1.2362869198312236,1.3434142112731933
july,train,1.255039849976559,1.356134033203125
july,train,1.273792780121894,1.4142372131347656
july,train,1.2925457102672293,1.3035085678100586
july,train,1.3112986404125644,1.3342878341674804
july,train,1.3300515705578997,1.2394537925720215
july,train,1.3488045007032348,1.3642131805419921
july,train,1.36755743084857,1.4048222541809081
july,train,1.3863103609939054,1.3300973892211914
july,train,1.4050632911392404,1.3672114372253419
july,train,1.4238162212845757,1.293863582611084
july,train,1.442569151429911,1.440335464477539
july,train,1.4613220815752461,1.4006662368774414
july,train,1.4800750117205814,1.2812078475952149
july,train,1.4988279418659165,1.3124167442321777
july,train,1.5175808720112518,1.3238739013671874
july,train,1.5363338021565869,1.437990379333496
july,train,1.5550867323019222,1.4080465316772461
july,train,1.5738396624472575,1.2745431900024413
july,train,1.5925925925925926,1.2992067337036133
july,train,1.6113455227379276,1.2792563438415527
july,train,1.6300984528832632,1.4766874313354492
july,train,1.6488513830285982,1.4032480239868164
july,train,1.6676043131739333,1.29984130859375
july,train,1.6863572433192686,1.358047866821289
july,train,1.705110173464604,1.312027359008789
july,train,1.723863103609939,1.3785946846008301
july,train,1.7426160337552743,1.4418680191040039
july,train,1.7613689639006096,1.3703598976135254
july,train,1.7801218940459447,1.3618083953857423
july,train,1.7988748241912798,1.2862104415893554
july,train,1.817627754336615,1.37843017578125
july,train,1.8363806844819504,1.4127445220947266
july,train,1.8551336146272854,1.3513422966003419
july,train,1.8738865447726207,1.2894845962524415
july,train,1.892639474917956,1.3364791870117188
july,train,1.9113924050632911,1.3762522697448731
july,train,1.9301453352086262,1.3652765274047851
july,train,1.9488982653539617,1.2838626861572267
july,train,1.9676511954992968,1.3090095520019531
july,train,1.9864041256446319,1.2924095153808595
july,train,2.003750586029067,1.3365755081176758
july,train,2.0225035161744023,1.111409568786621
july,train,2.0412564463197373,1.3435928344726562
july,train,2.060009376465073,1.132497501373291
july,train,2.078762306610408,1.1048633575439453
july,train,2.097515236755743,1.075429344177246
july,train,2.116268166901078,1.1012415885925293
july,train,2.1350210970464136,1.3690498352050782
july,train,2.1537740271917487,1.1487300872802735
july,train,2.172526957337084,1.144282054901123
july,train,2.1912798874824193,1.1167481422424317
july,train,2.2100328176277544,1.0710081100463866
july,train,2.2287857477730895,1.3418804168701173
july,train,2.247538677918425,1.1522851943969727
july,train,2.26629160806376,1.2009946823120117
july,train,2.285044538209095,1.070743942260742
july,train,2.3037974683544302,1.1659092903137207
july,train,2.3225503984997657,1.3218792915344237
july,train,2.341303328645101,1.175157356262207
july,train,2.360056258790436,1.1130763053894044
july,train,2.3788091889357714,1.1306888580322265
july,train,2.3975621190811065,1.110700798034668
july,train,2.4163150492264416,1.3186589241027833
july,train,2.4350679793717767,1.1426004409790038
july,train,2.453820909517112,1.1429791450500488
july,train,2.4725738396624473,1.1064461708068847
july,train,2.4913267698077823,1.0633548736572265
july,train,2.510079699953118,1.3217582702636719
july,train,2.528832630098453,1.1205602645874024
july,train,2.547585560243788,1.1097661972045898
july,train,2.566338490389123,1.0658330917358398
july,train,2.5850914205344586,1.077895450592041
july,train,2.6038443506797937,1.3019938468933105
july,train,2.6225972808251288,1.1448339462280273
july,validation,0.3750586029067042,1.5776019096374512
july,validation,0.7501172058134083,1.5580213069915771
july,validation,1.1237693389592125,1.5771410465240479
july,validation,1.4988279418659165,1.5416395664215088
july,validation,1.8738865447726207,1.5438463687896729
july,validation,2.247538677918425,1.5697956085205078
july,validation,2.6225972808251288,1.5471527576446533
